knowledge,issue_category,reference_url,knowledge_type
AAAIが論文の統一的な外観を確保するための指示を提供している,['段落構成'],Copy of AAAI-format.tex,学会フォーマット
著者はAAAI Pressの出版物のためにLaTeXを使用して論文をフォーマットする必要がある,['形式'],Copy of AAAI-format.tex,学会フォーマット
Microsoft Wordを使用する場合は別の文書に指示がある,['形式'],Copy of AAAI-format.tex,学会フォーマット
他のフォーマットソフトウェアを使用する場合はAAAI Pressの許可が必要,['形式'],Copy of AAAI-format.tex,学会フォーマット
LaTeXの経験がない著者はLaTeXを使用して論文をフォーマットしない方が良い,['形式'],Copy of AAAI-format.tex,学会フォーマット
AAAIはLaTeXのサポートを提供しない,['形式'],Copy of AAAI-format.tex,学会フォーマット
提供されたスタイルファイルが正しく機能する保証はない,['形式'],Copy of AAAI-format.tex,学会フォーマット
得られた結果が仕様に従わない場合はソースファイルを修正する必要がある,['形式'],Copy of AAAI-format.tex,学会フォーマット
この指示は一般的なガイドラインである,['段落構成'],Copy of AAAI-format.tex,学会フォーマット
最新のAAAI PressのLaTeXマクロの使用,['形式'],Copy of AAAI-format.tex,学会フォーマット
著者キットのダウンロード,['形式'],Copy of AAAI-format.tex,学会フォーマット
著作権フォームの記入、署名、期限内の返送,['形式'],Copy of AAAI-format.tex,学会フォーマット
論文のソースとPDFを著者向けのフォーマット指示に従って整形,['形式'],Copy of AAAI-format.tex,学会フォーマット
電子ファイルと要旨を期限内に電子提出フォームを使用して提出,['形式'],Copy of AAAI-format.tex,学会フォーマット
著作権フォームやページ料金、フォーマット料金を期限内にAAAI Pressに提出,['形式'],Copy of AAAI-format.tex,学会フォーマット
提出前に論文のすべてのページを確認,['段落構成'],Copy of AAAI-format.tex,学会フォーマット
AAAI Pressに提出する論文には有効な署名済み著作権フォームが必要,['形式'],Copy of AAAI-format.tex,学会フォーマット
著作権フォームは期限内にファックスまたはスキャンしてメールで送信可能,['形式'],Copy of AAAI-format.tex,学会フォーマット
署名済み著作権フォームを送信しないと論文は出版されない,['形式'],Copy of AAAI-format.tex,学会フォーマット
PDFLaTeXでコンパイルする必要がある,['形式'],Copy of AAAI-format.tex,学会フォーマット
PDFファイルにすべてのフォントを埋め込む必要がある,['形式'],Copy of AAAI-format.tex,学会フォーマット
スタイルシートの変更は禁止されている,['形式'],Copy of AAAI-format.tex,学会フォーマット
タイプ3フォントの使用は禁止されている,['形式'],Copy of AAAI-format.tex,学会フォーマット
タイトルは米国の大文字ルールに従う必要がある,['形式'],Copy of AAAI-format.tex,学会フォーマット
TimesまたはNimbusフォントパッケージを使用する必要がある,['形式'],Copy of AAAI-format.tex,学会フォーマット
LaTeX 209の文書は使用できない,['形式'],Copy of AAAI-format.tex,学会フォーマット
非英語言語サポートが必要なフォントはアウトラインに変換する必要がある,['形式'],Copy of AAAI-format.tex,学会フォーマット
AAAIスタイルの二段組形式が必要である,['形式'],Copy of AAAI-format.tex,学会フォーマット
最終提出用の用紙サイズは米国レターである,['形式'],Copy of AAAI-format.tex,学会フォーマット
提出するファイルの要件,['形式'],Copy of AAAI-format.tex,学会フォーマット
完全に準拠したPDFファイルの提出が必要,['形式'],Copy of AAAI-format.tex,学会フォーマット
単一の.texファイルとしてLaTeXソースファイルを提出する必要がある,['形式'],Copy of AAAI-format.tex,学会フォーマット
文書の各セクションは単一のソースファイルに含める必要がある,['形式'],Copy of AAAI-format.tex,学会フォーマット
文献リストは別に含めることができる,['形式'],Copy of AAAI-format.tex,学会フォーマット
すべてのグラフィックファイルを提出する必要がある,['形式'],Copy of AAAI-format.tex,学会フォーマット
コンパイルされたソースのLaTeX生成ファイルを提出する必要がある,['形式'],Copy of AAAI-format.tex,学会フォーマット
非標準スタイルファイルを含める必要がある,['形式'],Copy of AAAI-format.tex,学会フォーマット
PDFとソースファイルを単一の圧縮アーカイブにまとめる必要がある,['形式'],Copy of AAAI-format.tex,学会フォーマット
使用されていないファイルを送信しないこと,['形式'],Copy of AAAI-format.tex,学会フォーマット
AAAIスタイルファイルの最新バージョンの入手方法,['形式'],Copy of AAAI-format.tex,学会フォーマット
LaTeXソースの文書プリアンブルの設定方法,['形式'],Copy of AAAI-format.tex,学会フォーマット
著者数に応じた著者および住所行の追加または削除の必要性,['段落構成'],Copy of AAAI-format.tex,学会フォーマット
Timesフォントでの論文フォーマットの基本設定,['形式'],Copy of AAAI-format.tex,学会フォーマット
サンセリフ体にHelveticaを使用するためのhelvetパッケージの利用,['形式'],Copy of AAAI-format.tex,学会フォーマット
タイプライターフォントにCourierを使用するためのcourierパッケージの利用,['形式'],Copy of AAAI-format.tex,学会フォーマット
セクション番号の追加に関する設定方法,['段落構成'],Copy of AAAI-format.tex,学会フォーマット
サブセクション番号の設定に関する注意点,['段落構成'],Copy of AAAI-format.tex,学会フォーマット
必要なパッケージの指定,['形式'],Copy of AAAI-format.tex,学会フォーマット
PDF情報の設定が必要,['形式'],Copy of AAAI-format.tex,学会フォーマット
セクション番号の使用が可能,['形式'],Copy of AAAI-format.tex,学会フォーマット
タイトル、著者、住所情報の設定が必要,['形式'],Copy of AAAI-format.tex,学会フォーマット
