knowledge,issue_category,reference_url,knowledge_type
アポストロフィは複数形を形成する際に、単語の意味が保持される場合は不要,['文法'],19900017394-ページ-57.pdf (Page 1),一般的な論文
アポストロフィは省略形の文字を示すために使用するが、正式な論文では省略形の使用は稀であるためアポストロフィの使用も稀である,['文法'],19900017394-ページ-57.pdf (Page 1),一般的な論文
括弧は引用文中の編集挿入、訂正、コメント、参考文献の引用に使用する,['形式'],19900017394-ページ-57.pdf (Page 1),一般的な論文
括弧内にさらに括弧を入れる場合、混乱を避けるために角括弧を使用することを一部の権威は推奨するが、必須ではない,['形式'],19900017394-ページ-57.pdf (Page 1),一般的な論文
コロンはリスト、節、引用文を区切り導入するために使用し、文をほぼ停止させる強い区切りの役割を持つ,['形式'],19900017394-ページ-57.pdf (Page 1),一般的な論文
コロンは原則として完全な文の後に使用し、動詞や前置詞とその直接目的語の間にコロンを置いてはならない,"['文法', '形式']",19900017394-ページ-57.pdf (Page 1),一般的な論文
コロンの後の大文字使用については権威間で意見が分かれるため、使用するスタイルガイドに従うことが望ましい,['形式'],19900017394-ページ-57.pdf (Page 1),一般的な論文
参考文献リストは著者名、発行年、書籍名、版数、出版社を明確に記載すること,"['段落構成', '形式']",19900017394-ページ-104.pdf (Page 1),一般的な論文
参考文献の書誌情報は一貫したスタイルで統一すること,['形式'],19900017394-ページ-104.pdf (Page 1),一般的な論文
参考文献の書籍名や雑誌名はイタリック体で表記することが推奨される,['形式'],19900017394-ページ-104.pdf (Page 1),一般的な論文
参考文献の各項目は句読点で区切り、読みやすく整理すること,['形式'],19900017394-ページ-104.pdf (Page 1),一般的な論文
本文のフォントサイズは10ポイントに設定,['形式'],19900017394-ページ-105.pdf (Page 1),一般的な論文
タイトルは米国式の大文字ルールに従うこと,['形式'],19900017394-ページ-105.pdf (Page 1),一般的な論文
要約は200語以内に制限すること,['形式'],19900017394-ページ-105.pdf (Page 1),一般的な論文
ページ番号は印刷しないこと,['形式'],19900017394-ページ-105.pdf (Page 1),一般的な論文
引用は著者名と年を記載すること,['形式'],19900017394-ページ-105.pdf (Page 1),一般的な論文
図のキャプションは図の下に配置すること,['形式'],19900017394-ページ-105.pdf (Page 1),一般的な論文
図は図の環境内でセンタリングすることが推奨される,['形式'],19900017394-ページ-105.pdf (Page 1),一般的な論文
複合名詞のハイフン使用は辞書の綴りとハイフン表記に従うこと,['形式'],19900017394-ページ-75.pdf (Page 1),一般的な論文
"恒久的な前置詞句複合名詞はハイフンで連結すること（例：right-of-way, mother-in-law）",['形式'],19900017394-ページ-75.pdf (Page 1),一般的な論文
"その他の恒久的な複合名詞は連結して綴ること（例：workbench, cupboard）",['形式'],19900017394-ページ-75.pdf (Page 1),一般的な論文
辞書に掲載されているがまだハイフンで連結されていない複合名詞はハイフンを付けないこと（例：state of the art）,['形式'],19900017394-ページ-75.pdf (Page 1),一般的な論文
"複数の名詞を組み合わせて一つの概念を表す一時的な複合名詞はハイフンで連結すること（例：wing-body, writer-editor）",['形式'],19900017394-ページ-75.pdf (Page 1),一般的な論文
"名詞由来の能動態複合動詞はハイフンで連結すること（例：flight-tested, cross-brace）",['形式'],19900017394-ページ-75.pdf (Page 1),一般的な論文
"受動態の複合動詞はハイフンで連結しないこと（例：flight tested, cross braced）",['形式'],19900017394-ページ-75.pdf (Page 1),一般的な論文
単位修飾語のハイフンは曖昧さを避ける場合にのみ使用すること,['形式'],19900017394-ページ-75.pdf (Page 1),一般的な論文
述語形容詞として用いる単位修飾語はハイフンを付けないこと（例：The aircraft was flight tested）,['形式'],19900017394-ページ-75.pdf (Page 1),一般的な論文
辞書にハイフン付き形容詞として掲載されている場合は述語形容詞でもハイフンを付けること（例：The method is well-known）,['形式'],19900017394-ページ-75.pdf (Page 1),一般的な論文
固有名詞の大文字使用ルールの明確化,['段落構成'],19900017394-ページ-103.pdf (Page 1),一般的な論文
人種や部族名は固有名詞として大文字で始めること,['文法'],19900017394-ページ-103.pdf (Page 1),一般的な論文
商標名は固有名詞として大文字で始めること,['文法'],19900017394-ページ-103.pdf (Page 1),一般的な論文
商標名は所有者の権利保護のため、形容詞としてのみ使用すること,"['文法', '形式']",19900017394-ページ-103.pdf (Page 1),一般的な論文
商標名を使用する場合は、可能な限り所有者名を明記すること,"['文法', '形式']",19900017394-ページ-103.pdf (Page 1),一般的な論文
研究ミッション、プログラム、宇宙船などの公式名称は固有名詞として大文字で始めること,['文法'],19900017394-ページ-103.pdf (Page 1),一般的な論文
"一般名詞として使う場合は小文字で表記すること（例：space shuttle, space station）",['文法'],19900017394-ページ-103.pdf (Page 1),一般的な論文
比較級は2つの対象の比較に使用すること,['文法'],19900017394-ページ-49.pdf (Page 1),一般的な論文
最上級は3つ以上の対象の比較に使用すること,['文法'],19900017394-ページ-49.pdf (Page 1),一般的な論文
比較級でクラスと比較する場合は必ずotherまたはelseを用いること,['文法'],19900017394-ページ-49.pdf (Page 1),一般的な論文
最上級でクラスと比較する場合はallを用いること,['文法'],19900017394-ページ-49.pdf (Page 1),一般的な論文
比較文において不完全な比較は意味の曖昧さを生じさせるため避けること,['文法'],19900017394-ページ-49.pdf (Page 1),一般的な論文
比較文は比較対象が明確になるように完全な文を用いること,['文法'],19900017394-ページ-49.pdf (Page 1),一般的な論文
長く複雑な等位節はセミコロンで区切ること,['形式'],19900017394-ページ-87.pdf (Page 1),一般的な論文
等位接続詞で結ばれた節が長く内部にコンマを含む場合、セミコロンで区切ることが推奨される,['形式'],19900017394-ページ-87.pdf (Page 1),一般的な論文
"接続副詞（however, thus, therefore, hence）の前にはセミコロンまたはピリオドを置くこと",['形式'],19900017394-ページ-87.pdf (Page 1),一般的な論文
セミコロンはコンマよりも文の区切りを強調し、文の流れを遅くする効果がある,['形式'],19900017394-ページ-87.pdf (Page 1),一般的な論文
対比を示す節の間にはセミコロンを用いることが効果的である,['形式'],19900017394-ページ-87.pdf (Page 1),一般的な論文
二つの節のうち後者が前者を説明・強調する場合、コロンまたはダッシュで区切ることができる,['形式'],19900017394-ページ-87.pdf (Page 1),一般的な論文
コロンはセミコロンよりも形式的で導入的な力が強いことを理解すること,['形式'],19900017394-ページ-87.pdf (Page 1),一般的な論文
ダッシュはセミコロンよりも強調的な区切りを示すことを理解すること,['形式'],19900017394-ページ-87.pdf (Page 1),一般的な論文
複雑で内部にコンマを含む列挙要素はセミコロンで区切ること,['形式'],19900017394-ページ-87.pdf (Page 1),一般的な論文
セミコロンはほぼ完全な区切りを示すため、列挙の意味を明確にするが文の流れを妨げる可能性があることを考慮すること,['形式'],19900017394-ページ-87.pdf (Page 1),一般的な論文
直接引用の導入には、特に引用が長い場合や文に密接に組み込まれていない場合にコロンを使用すること,['形式'],19900017394-ページ-60.pdf (Page 1),一般的な論文
直接引用の導入には通常コンマを使用することが多いこと,['形式'],19900017394-ページ-60.pdf (Page 1),一般的な論文
間接引用の前にはコロンもコンマも使用しないこと,['形式'],19900017394-ページ-60.pdf (Page 1),一般的な論文
コロンは正式な書簡の挨拶文の後に使用すること（例：Dear Sir:）,['形式'],19900017394-ページ-60.pdf (Page 1),一般的な論文
コロンは時間の時と分の間に使用すること（例：11:30 a.m.）,['形式'],19900017394-ページ-60.pdf (Page 1),一般的な論文
"コロンは参考文献の引用に使用すること（例：Slater, Philip N.: Remote Sensing）",['形式'],19900017394-ページ-60.pdf (Page 1),一般的な論文
コロンは比率を表す際に使用すること（例：2:1 mixture）,['形式'],19900017394-ページ-60.pdf (Page 1),一般的な論文
コロンは閉じ括弧や閉じ引用符の後に置くこと,['形式'],19900017394-ページ-60.pdf (Page 1),一般的な論文
コンマは文の要素を区切るか囲むために使用され、その機能に応じて使い方が異なること,['形式'],19900017394-ページ-60.pdf (Page 1),一般的な論文
コンマの使用は文の意味を変えることがあるため、文脈を理解して適切に判断する必要があること,['形式'],19900017394-ページ-60.pdf (Page 1),一般的な論文
文章の冗長性を減らすために、従属節を句に変え、句を副詞や形容詞に簡略化すること,['段落構成'],19900017394-ページ-46.pdf (Page 1),一般的な論文
冗長で回りくどい表現を避けること,"['文法', '段落構成']",19900017394-ページ-46.pdf (Page 1),一般的な論文
受動態の使用を避け、能動態を優先すること,['文法'],19900017394-ページ-46.pdf (Page 1),一般的な論文
状態を表す動詞（linking verbs）やappear、seemなどの動詞よりも能動動詞を用いること,"['文法', '単語']",19900017394-ページ-46.pdf (Page 1),一般的な論文
複数の文の内容を一文にまとめることで文章を簡潔にすること。ただし、長すぎて分かりにくい文は避けること,['段落構成'],19900017394-ページ-46.pdf (Page 1),一般的な論文
要約は200語以内に制限すること（例：NASAの規定）,['段落構成'],19900017394-ページ-46.pdf (Page 1),一般的な論文
論文タイトルは短く簡潔にし、正確で完全かつ理解しやすい表現にすること,"['段落構成', '単語']",19900017394-ページ-46.pdf (Page 1),一般的な論文
