knowledge,issue_category,reference_url,knowledge_type
AAAIが著者から提供された電子ソースから直接、会議録、作業ノート、技術報告を作成すること,['段落構成'],Copy of AAAI-format.tex,学会フォーマット
出版物のすべての論文が均一な外観を持つために、著者は指示に従う必要があること,['段落構成'],Copy of AAAI-format.tex,学会フォーマット
Microsoft Wordを使用している場合は、別の文書に指示が提供されること,['段落構成'],Copy of AAAI-format.tex,学会フォーマット
他のフォーマットソフトウェアを使用する場合は、事前にAAAI Pressから許可を得る必要があること,['段落構成'],Copy of AAAI-format.tex,学会フォーマット
これらの指示は、経験豊富なLaTeXユーザー向けの一般的なガイドであること,['段落構成'],Copy of AAAI-format.tex,学会フォーマット
経験のないLaTeXユーザーは、論文のフォーマットに使用しないこと,['段落構成'],Copy of AAAI-format.tex,学会フォーマット
AAAIはサポートを提供できず、付随するスタイルファイルは動作することが保証されていないこと,['段落構成'],Copy of AAAI-format.tex,学会フォーマット
得られた結果が仕様に従っていない場合は、ソースファイルを修正する必要があること,['段落構成'],Copy of AAAI-format.tex,学会フォーマット
最新のAAAI Press LaTeXマクロの使用,['形式'],Copy of AAAI-format.tex,学会フォーマット
著者キットのダウンロード,['形式'],Copy of AAAI-format.tex,学会フォーマット
著作権フォームの記入、署名、期限内の返送,['形式'],Copy of AAAI-format.tex,学会フォーマット
論文のソースとPDFを著者向けのフォーマット指示に従って整形,['形式'],Copy of AAAI-format.tex,学会フォーマット
電子ファイルと要旨を期限内に電子提出フォームを使用して提出,['形式'],Copy of AAAI-format.tex,学会フォーマット
著作権フォームや必要なページまたはフォーマット料金をAAAI Pressに期限内に送付,['形式'],Copy of AAAI-format.tex,学会フォーマット
提出前に論文のすべてのページを確認,['形式'],Copy of AAAI-format.tex,学会フォーマット
AAAI Pressに提出する論文には有効な署名済み著作権フォームが必要,['形式'],Copy of AAAI-format.tex,学会フォーマット
著作権または配布許可フォームを送信しないと論文は出版されない,['形式'],Copy of AAAI-format.tex,学会フォーマット
著者キットにAAAI著作権および配布許可フォームのPDF版が含まれている,['形式'],Copy of AAAI-format.tex,学会フォーマット
PDFLaTeX でコンパイルする必要がある,['形式'],Copy of AAAI-format.tex,学会フォーマット
すべてのフォントは PDF ファイルに埋め込む必要がある,['形式'],Copy of AAAI-format.tex,学会フォーマット
スタイルシートの変更は許可されていない,['形式'],Copy of AAAI-format.tex,学会フォーマット
タイプ 3 フォントは使用できない,['形式'],Copy of AAAI-format.tex,学会フォーマット
タイトルは米国の大文字化ルールに従う必要がある,['形式'],Copy of AAAI-format.tex,学会フォーマット
Times または Nimbus フォントパッケージを使用する必要がある,['形式'],Copy of AAAI-format.tex,学会フォーマット
LaTeX 209 ドキュメントは使用できない,['形式'],Copy of AAAI-format.tex,学会フォーマット
非英語言語サポートが必要なフォントはアウトラインに変換する必要がある,['形式'],Copy of AAAI-format.tex,学会フォーマット
AAAI スタイルの二段組形式が必要である,['形式'],Copy of AAAI-format.tex,学会フォーマット
最終提出用の用紙サイズは US レターである,['形式'],Copy of AAAI-format.tex,学会フォーマット
適切にサイズ調整されたグラフィックスの必要性,['形式'],Copy of AAAI-format.tex,学会フォーマット
完全準拠のPDFファイルの提出が必要,['形式'],Copy of AAAI-format.tex,学会フォーマット
単一の.texファイルとしてのLaTeXソースファイルの提出が必要,['形式'],Copy of AAAI-format.tex,学会フォーマット
すべてのグラフィックスファイルの提出が必要,['形式'],Copy of AAAI-format.tex,学会フォーマット
