knowledge,issue_category,reference_url,knowledge_type
著作権フォームの提出が必須,['段落構成'],Copy of AAAI-format.tex,学会フォーマット 　## 校正と関係なし
著作権フォームは原本を郵送する必要がある,['段落構成'],Copy of AAAI-format.tex,学会フォーマット 　## 校正と関係なし
締切に間に合わせるために著作権フォームをFAXまたはスキャンしてメール送信可能,['段落構成'],Copy of AAAI-format.tex,学会フォーマット
署名された著作権フォームがない場合、論文は出版されない,['段落構成'],Copy of AAAI-format.tex,学会フォーマット
PDFファイルはPDFLaTeXでコンパイルすること,['段落構成'],Copy of AAAI-format.tex,学会フォーマット
PDFファイルにすべてのフォントを埋め込むこと,['段落構成'],Copy of AAAI-format.tex,学会フォーマット
スタイルシートの変更は禁止,['段落構成'],Copy of AAAI-format.tex,学会フォーマット
タイプ3フォントの使用禁止,['段落構成'],Copy of AAAI-format.tex,学会フォーマット
タイトルは米国の大文字ルールに従うこと,['段落構成'],Copy of AAAI-format.tex,学会フォーマット #情報不足
TimesまたはNimbusフォントパッケージを使用すること,['段落構成'],Copy of AAAI-format.tex,学会フォーマット
LaTeX 209文書の使用禁止,['段落構成'],Copy of AAAI-format.tex,学会フォーマット
非英語言語サポートが必要なフォントはアウトラインに変換するか削除すること,['段落構成'],Copy of AAAI-format.tex,学会フォーマット
AAAIスタイルの二段組形式を使用すること,['段落構成'],Copy of AAAI-format.tex,学会フォーマット
最終提出用の用紙サイズはUSレターであること,['段落構成'],Copy of AAAI-format.tex,学会フォーマット 　## 校正と関係なし
PDFファイルを提出すること,['段落構成'],Copy of AAAI-format.tex,学会フォーマット 　## 校正と関係なし
単一の.texファイルとしてLaTeXソースを提出すること,['段落構成'],Copy of AAAI-format.tex,学会フォーマット　## 校正と関係なし
各セクションを単一のソースファイルに含めること,['段落構成'],Copy of AAAI-format.tex,学会フォーマット　　## 校正と関係なし
文献リストは別ファイルとして含めることができる,['段落構成'],Copy of AAAI-format.tex,学会フォーマット　
すべてのグラフィックファイルを提出すること,['段落構成'],Copy of AAAI-format.tex,学会フォーマット　　## 校正と関係なし
LaTeX生成ファイル（.auxや.bibファイルなど）を提出すること,['段落構成'],Copy of AAAI-format.tex,学会フォーマット　　## 校正と関係なし
非標準スタイルファイルを提出すること,['段落構成'],Copy of AAAI-format.tex,学会フォーマット
ソースファイルはすべてのテキスト、文献、カスタムマクロを含むこと,['段落構成'],Copy of AAAI-format.tex,学会フォーマット
PDFとソースファイルを単一の圧縮アーカイブにまとめること,['段落構成'],Copy of AAAI-format.tex,学会フォーマット
ファイル名は姓で命名すること,['段落構成'],Copy of AAAI-format.tex,学会フォーマット
フォントサイズは10ポイントに設定,['段落構成'],Copy of AAAI-format.tex,学会フォーマット
タイトルは16ポイントの太字で中央揃え,['段落構成'],Copy of AAAI-format.tex,学会フォーマット
著者名は12ポイントで中央揃え,['段落構成'],Copy of AAAI-format.tex,学会フォーマット
アブストラクトは200語以内に制限,['段落構成'],Copy of AAAI-format.tex,学会フォーマット
引用は著者名と年を記載,['文法'],Copy of AAAI-format.tex,学会フォーマット
ページ番号は印刷しない,['段落構成'],Copy of AAAI-format.tex,学会フォーマット
"図は.jpg, .png, .pdf形式で挿入",['段落構成'],Copy of AAAI-format.tex,学会フォーマット
図のキャプションは図の下に配置,['段落構成'],Copy of AAAI-format.tex,学会フォーマット
図のフォントは9ポイント以上に設定,['段落構成'],Copy of AAAI-format.tex,学会フォーマット
文書は二段組で印刷,['段落構成'],Copy of AAAI-format.tex,学会フォーマット
タイプ1フォントの使用,['段落構成'],Copy of AAAI-format.tex,学会フォーマット
タイプ3フォントの使用禁止,['段落構成'],Copy of AAAI-format.tex,学会フォーマット
標準のTimes、Nimbus、CMRフォントパッケージの使用,['段落構成'],Copy of AAAI-format.tex,学会フォーマット
